,0,1,2,3,4,5,6,7,8,9,10
104,0.753,0.602,0.0,-6.326,1.0,0.149,0.052,0.000249,0.102,0.555,94.056
105,0.808,0.704,1.0,-1.955,1.0,0.1,0.146,0.0,0.134,0.613,130.049
106,0.676,0.5,8.0,-6.878,1.0,0.0412,0.701,0.0,0.596,0.915,97.863
107,0.684,0.774,7.0,-5.951,1.0,0.188,0.26,0.0,0.108,0.448,84.991
108,0.386,0.714,6.0,-5.597,0.0,0.381,0.263,0.0,0.233,0.289,89.807
109,0.895,0.526,10.0,-7.969,0.0,0.183,0.0926,0.00539,0.586,0.202,87.993
110,0.69,0.466,6.0,-4.812,1.0,0.102,0.417,0.0011,0.114,0.28,81.935
111,0.615,0.523,7.0,-4.246,0.0,0.267,0.505,4.29e-06,0.11,0.693,127.932
112,0.687,0.611,1.0,-7.313,1.0,0.126,0.0857,0.0,0.301,0.789,79.034
113,0.711,0.258,10.0,-8.956,0.0,0.0693,0.791,0.000879,0.101,0.423,75.007
114,0.758,0.442,2.0,-7.136,1.0,0.0765,0.179,1.44e-06,0.11,0.479,92.02
115,0.599,0.48,1.0,-8.101,0.0,0.0344,0.402,9.6e-06,0.0696,0.248,104.148
116,0.625,0.442,5.0,-9.069,1.0,0.225,0.835,0.0098,0.144,0.77,174.954
117,0.591,0.532,0.0,-7.509,1.0,0.226,0.338,0.883,0.359,0.254,171.957
118,0.69,0.482,9.0,-7.982,0.0,0.0481,0.158,0.00191,0.0941,0.13,124.023
119,0.435,0.701,8.0,-7.473,1.0,0.272,0.0269,0.000465,0.0973,0.286,179.48
120,0.73,0.877,6.0,-4.35,0.0,0.0845,0.0429,0.000694,0.286,0.708,119.024
121,0.676,0.5,8.0,-6.878,1.0,0.0412,0.701,0.0,0.596,0.915,97.863
122,0.826,0.449,8.0,-4.855,1.0,0.216,0.0809,0.00925,0.0628,0.726,90.047
123,0.528,0.567,8.0,-10.297,1.0,0.34,0.483,0.0432,0.588,0.284,97.884
124,0.757,0.535,1.0,-4.456,1.0,0.27,0.217,7.51e-06,0.339,0.389,128.981
125,0.386,0.714,6.0,-5.597,0.0,0.381,0.263,0.0,0.233,0.289,89.807
126,0.506,0.807,1.0,-4.442,0.0,0.0541,0.0811,0.000428,0.296,0.556,123.896
127,0.664,0.642,7.0,-8.253,1.0,0.0553,0.0313,0.0397,0.384,0.511,92.99
128,0.711,0.258,10.0,-8.956,0.0,0.0693,0.791,0.000879,0.101,0.423,75.007
129,0.783,0.525,10.0,-7.992,1.0,0.0463,0.407,0.408,0.0724,0.835,108.002
130,0.676,0.642,0.0,-5.035,1.0,0.0516,0.166,4.65e-05,0.254,0.481,171.966
131,0.66,0.529,1.0,-8.814,1.0,0.0751,0.492,5.17e-05,0.237,0.17,91.893
132,0.607,0.518,11.0,-8.756,0.0,0.0678,0.473,0.000523,0.119,0.0928,86.047
133,0.457,0.796,5.0,-5.478,0.0,0.298,0.441,3.35e-06,0.0792,0.309,150.034
134,0.518,0.634,1.0,-6.505,0.0,0.0579,0.0148,1.92e-05,0.129,0.0744,100.138
135,0.435,0.701,8.0,-7.473,1.0,0.272,0.0269,0.000465,0.0973,0.286,179.48
136,0.779,0.682,0.0,-2.895,1.0,0.0884,0.0596,0.0,0.356,0.633,120.086
137,0.745,0.783,4.0,-6.783,1.0,0.0543,0.0313,0.333,0.146,0.577,117.008
138,0.672,0.85,4.0,-4.557,0.0,0.0312,0.0601,3.19e-05,0.117,0.431,104.974
139,0.739,0.823,4.0,-7.074,1.0,0.156,0.0169,9.07e-06,0.119,0.192,122.005
140,0.601,0.723,4.0,-3.968,0.0,0.0447,0.0297,0.00125,0.0699,0.161,155.026
141,0.926,0.387,1.0,-8.371,0.0,0.457,0.193,0.00689,0.0851,0.546,122.014
142,0.586,0.827,8.0,-5.295,1.0,0.0697,0.000802,0.0,0.379,0.256,103.991
143,0.743,0.489,0.0,-6.43,0.0,0.0616,0.0293,3.72e-06,0.167,0.349,116.077
144,0.484,0.806,6.0,-2.706,1.0,0.12,0.147,0.000762,0.207,0.349,131.988
145,0.705,0.464,6.0,-4.812,1.0,0.0918,0.417,0.00116,0.114,0.288,81.994
146,0.538,0.33,9.0,-8.799,0.0,0.247,0.785,0.00155,0.124,0.155,95.91
147,0.609,0.677,4.0,-5.541,0.0,0.113,0.312,2.5e-05,0.228,0.0907,84.755
148,0.539,0.649,5.0,-7.54,0.0,0.144,0.143,0.0,0.141,0.432,104.909
149,0.605,0.909,1.0,-6.476,0.0,0.0481,0.0142,0.138,0.209,0.364,119.938
150,0.432,0.85,10.0,-4.417,1.0,0.0771,0.501,6.59e-06,0.203,0.109,82.607
151,0.49,0.629,2.0,-4.072,0.0,0.0399,0.0732,0.0,0.0957,0.3,74.967
152,0.536,0.879,1.0,-3.019,1.0,0.0621,0.0742,0.0,0.0847,0.334,140.137
153,0.432,0.85,10.0,-4.417,1.0,0.0771,0.501,6.59e-06,0.203,0.109,82.607
154,0.355,0.852,6.0,-3.966,0.0,0.0632,0.0134,1.98e-05,0.0774,0.173,143.925
