,0,1,2,3,4,5,6,7,8,9,10
83,0.701,0.569,0.0,-7.74,1.0,0.0303,0.673,0.0199,0.363,0.815,134.867
84,0.253,0.808,1.0,-7.372,1.0,0.047,0.0805,0.796,0.111,0.436,100.009
85,0.687,0.578,9.0,-6.686,1.0,0.0239,0.0106,3.78e-05,0.192,0.751,97.0
86,0.587,0.795,4.0,-6.138,0.0,0.036,0.0773,1.75e-06,0.174,0.884,119.998
87,0.672,0.755,9.0,-6.691,1.0,0.0304,0.00546,0.000103,0.107,0.561,117.92
88,0.681,0.79,7.0,-6.22,1.0,0.0285,0.0197,0.018,0.174,0.748,128.197
89,0.578,0.554,0.0,-8.469,1.0,0.0294,0.134,8.07e-05,0.0654,0.324,121.022
90,0.487,0.614,4.0,-6.771,1.0,0.0569,0.53,7.2e-05,0.143,0.61,137.406
91,0.367,0.395,8.0,-7.689,1.0,0.0291,0.487,0.0,0.698,0.296,104.951
92,0.53,0.835,4.0,-5.464,0.0,0.0477,0.0151,2.91e-06,0.0946,0.608,158.888
93,0.738,0.796,9.0,-4.915,1.0,0.0292,0.181,0.0787,0.142,0.928,134.949
94,0.576,0.916,2.0,-5.153,1.0,0.0347,0.0021,0.00363,0.145,0.956,127.883
95,0.673,0.213,1.0,-14.241,1.0,0.0598,0.846,1.41e-05,0.111,0.57,124.128
96,0.551,0.902,2.0,-3.793,1.0,0.0433,0.00204,0.0,0.0628,0.523,114.998
97,0.569,0.779,10.0,-7.704,1.0,0.0275,0.106,0.475,0.188,0.882,107.379
98,0.568,0.794,5.0,-4.976,1.0,0.0296,0.00397,0.00135,0.373,0.563,122.967
99,0.701,0.569,0.0,-7.74,1.0,0.0303,0.673,0.0199,0.363,0.815,134.867
100,0.899,0.751,11.0,-4.063,0.0,0.311,0.0732,0.0,0.127,0.636,140.029
101,0.706,0.485,8.0,-9.671,1.0,0.331,0.337,0.0,0.122,0.144,115.414
102,0.62,0.598,7.0,-10.097,1.0,0.273,4.12e-06,9.28e-06,0.116,0.18,107.443
103,0.682,0.927,4.0,-2.915,1.0,0.0479,0.0843,0.0,0.149,0.744,101.019
104,0.485,0.738,1.0,-8.884,0.0,0.101,0.406,8.77e-05,0.514,0.484,114.713
105,0.609,0.629,10.0,-5.024,1.0,0.0264,0.425,0.0,0.0978,0.325,99.955
106,0.494,0.722,5.0,-8.373,1.0,0.0347,0.287,0.186,0.283,0.156,117.312
107,0.653,0.631,9.0,-11.334,1.0,0.0461,0.299,0.00265,0.0627,0.516,156.32
108,0.781,0.81,10.0,-4.301,0.0,0.356,0.738,0.0,0.144,0.908,173.949
